section 1 ,Contact Details
,Company Name
,Company Address Line 1
,Company Address Line 2
,Company Address Line 3
,Company Address Line 4
,Company Address Line 5
,Company Address Line 6
,Landline Telephone Number 
,Mobile Telephone Number 
,Contact Name of person completing this questionaire
,Contact Title 
,Contact email
,
section 2 ,Primary Business Drivers for investigating a WMS
,Please Identify your key drivers at this time by placing yes in the answer No Current System
,Old System  reviewing the Market
,Growing Business demands enhanced functionality
,Dissatisfaction with current WMS Solution Provider
,Government Regulation or Traceability Issues
,Adherence to complex stock handling rules or Errors or Accuracy
,Customer Demands
,Reduce Reliance on Key Staff 
,Requirement for Improved Management Information and reporting
,Other  Please Specifiy  Why are we here today
,
section 3 ,General Business Questions
,What is the principal activity of business  
,What is the total Number of Customers managed 3PL Only
,eighty percentage of Volume is done by what number of customers 
,Do you have a WMS currently in place
,What is the WMS Product Name 
,How many years has your current technology been in use
,What  Product Temperatures does the business manage
,percentage Ambient Operation Normal Temperature 
,percentage Chill Operation circa 2 to 5 degrees Celisus 
,percentage Cold Store Operation circa 18 to 30 degrees Celisus 
,In terms of food  Product Types what percentage of Food is managed
,percentage Chemical managed
,percentage Hardware managed
,percentage Other  managed
,Do you perform Case Picking 
,How many Pallet Positions are dedicated to Pick Faces
, How many SKUs Stock Keeping Units are in the warehouse 
,Do pick faces contain more than one SKU
,Is Bulk Storage a major component of the business
,How many Pallet Positions 
, List any special services provided 
, Manufacturing 
, Repacking  
, Kitting 
, Assembly 
, Sampling 
, Bonded 
, Other   
, Do you have a Transport Divison 
,Do you operate to BRC British Retail Consortium Standards
,Do you have any ADR requirements 
,
section 4 ,Facility Overview Questions
,How many physical warehousing sites do you operate
,How many physical warehousing sites is the WMS being deployed 
,Please complete the following for each facility you have
,Facility name 
,Size  Sq Feet
,Number of Pallet Spaces
,What is the total number Loading Bays or Doors 
,Number of different chamber types operated Ambient or Chill or Frozen or bonded
,Provide an overview of the Racking Types you operate by Pallet Space
,Fixed Single Depth Racking  Number of spaces
,Drive in MultiDepth Racking  Number of Spaces
,Push Back racking
,Mobile Racking  Number of Spaces
,Narrow Aisle Racking  Number of spaces
,Gravity Feed Racking  Number of spaces
,MutliSpace racking  Not Drive In  Number of spaces
,Block Stacking  Is this operated in the company
,Other
,Bulk Picking  
,Case Picking 
,Radio Frequency or Voice Yes  or No
,Number of different chamber types operated Ambient or Chill or Frozen or bonded
,What number of days per week does the warehouse operate  5 days 6 days 7 days 
,The average number of shifts the warehouse operates per day 
,What is the average number of hours per shift for warhouse operatives
,How many days per week does the back office operate
