section 1,Contact Details
*%$introduction$%*,
,Company Name
,Company Address Line 1
,Company Address Line 2
,Company Address Line 3
,Company Address Line 4
,Company Address Line 5
,Company Address Line 6
,Landline Telephone Number 
,Mobile Telephone Number 
,Contact Name of person completing this questionnaire
,Contact Title 
,Contact email
,Company Website
*%$break&%*,
section 2,Business Overview
*%$introduction$%*,
,"Status of Company - Limited Company, PLC, Co-op etc. "
,"What is the principal activity of the business e.g. Third Party Logistics, Distribution Centre, Distributor"
,"What is the Company Turnover? (<€1 - €1-2m €3-5m €6m - €10m, €10m plus)"
,What are the major types of product handled?
,How many Customers do you have - 3PL Only
,Eighty percentage of Volume is done by what number of customers - 3PL Only
,Who owns title to the goods while they are in the warehouse e.g. The Supplier - You or The Customer? - 3PL Only
,Who gets Invoiced while the goods are on the premises? - Supplier/Customer
,Where do the Delivery orders come from - Supplier/Customer?
,Do you manage Ambient Product 
,Do you manage Chill Product 
,Do you manage Frozen Product 
*%$break&%*,
section 3,Facility Overview
*%$introduction$%*,
,How many physical warehousing sites do you operate
,How many physical warehousing sites is the WMS being deployed 
,Facility name 
,Size  Sq. Feet
,Number of Pallet Spaces
,What is the total number Loading Bays or Doors 
,Do you have normal Fixed Single Racking 
,Do you have Drive In/Multi-Depth racking
,Do you have Push Back Racking
,Do you have Mobile Racking
,Do you Have Narrow Aisle Racking
,Do you have Gravity Feed Racking
,Do you operate Block Stacking
,Do you use Free Space on the floor to pick and Marshall Goods?
,What is the average turnaround time of goods on your premises
,How many days per week does the operation operate?
,How many Shifts per day does the operation operate?
*%$break&%*,
section 4,Operational Overview
*%$introduction$%*,We have questions on the folowing: Goods In Process Checking Process Put-away Process Cross Docking Full Pallet Picks Case Picking Serial Item Picking  Replenishments Marshalling  Loading Returns Stock Takes Stock Adjustments SSCC Label Production Returns Stock Takes Stock Adjustments SSCC bel Production
,"What is the principal activity of business e.g. Third Party Logistics, Distributor etc.?"
,What is the total Number of Customers managed? (3PL Only)
,80% of Volume is done by what number of customers (3PL Only)
,What % of the Business is full pallet movements?
,Do you perform Case Picking? (Yes/No)
,Do you use pick faces?
,Do you pick from the uppers?
,Do you pick to Zero?
,Is Serial Item Number Tracking a feature of the business?
,Are Variable Weighted items a feature of the operation
,What % of Picks do you get ASN pre-advice notification for? 
,How many Pallet Positions are dedicated to Pick Faces?
,How many SKU's (Stock Keeping Units) are in the warehouse?
,Do pick faces contain more than one SKU?
,Is Bulk Storage a major component of the business?
,Please detail any other activities that occur on your site :-
,Do you have an internal Transport Division?
,Do you operate to BRC (British Retail Consortium) Standards?
,Do you have any ADR requirements? ADR is the acronym given to The European Agreement Concerning the International Carriage of Dangerous Goods by Road
*%$subhead$%*,Please Identify if any of the following activities take place on your site
,Manufacturing
,Kitting
,Assembly
,Repacking 
,Product Sampling Functions
,Bonded
,Blast Freezing
,Tempering Functions
,Microwaving Functions
,Product Grading Functions
,Place Stock on Hold
,Release Stock from holds
,Rework 
,Shrink-wrapping
,Pallet Inversion
,Van Sales
,Other
*%$break&%*,
section 5,Movements Overview
*%$introduction$%*,
,How many Goods In - Loads - per day?
,How many Goods In - Full Pallet movements - per day 
,How many Goods Out - Loads - per day?
,How many Goods Out - Full Pallet movements - per day?
,How many replenishments per day
,How many orders are picked per day?
,What is the average number of lines per order?
,What is the average number of cases per line?
,Please describe the other main movements/activities that occur that impact on man hours?
*%$break&%*,
section 6,Staffing Overview
*%$introduction$%*,
,How many staff are employed In total 
,What is the current total number of back office warehouse administration staff?
,What is the current total number of warehouses floor operatives?
,Currently are  warehouse operatives dedicated to tasks or Multi-task?
*%$break&%*,
section 7,Existing Technology Overview
*%$introduction$%*,
,Do you have a WMS currently in place?
,What is the WMS Product Name?
,How many years has your current technology been in use?
,Do you have your own internal IT resources - No of People?
,Do you currently use Radio Frequency barcode Scanning?
,Is there a wireless network currently in the warehouse?
,Is there full wireless coverage throughout the entire warehouse 
,What is the number of handheld devices currently in use?
,What is the number of truck mounted devices currently in use?
,Do you currently use any Voice software 
,"If Yes, What Brand e.g. Vocollect, Voxware etc."
,What is the number of voice units currently in use?
,Do you currently use RFID Technology
,Is there a good and reliable broadband connection available at all locations 
,"Number of Label Printers currently on site, if any"
,"Number of Wireless Mobile Label Printers on site, if any"
*%$break&%*,
section 8,System Interfacing Overview
*%$introduction$%*,"Accounts e.g. Sage Line 50, SAP Business One, Access Accounts etc.ERP Transport  Manufacturing Other - Specify"
,What systems would the proposed WMS be required to Integrate with?
,Do these Integrations currently exist? (Yes/No)
,Transaction Types
,Description 
,Export from WMS -  Invoices Header and Line Information to Accounts Package 
,Import to WMS       - Purchase Order Information - Pending Goods Inwards
,Export from WMS  - Confirmed Goods In - Actual quantities - Used to manage Variances
,Import to WMS      - Sales Order Information - Pick Instructions
,Export from WMS - Confirmed Picked or Despatched Quantity
,Export from WMS - Delivered/POD/Signed Quantity
,Export from WMS - Unadvised Returns from consignees
,Import to WMS - Advised Return/Uplift Instructions from consignees
,Import to WMS - Advised Return Instructions to Suppliers
,Import to WMS - Place Stock on Hold Notice 
,Import to WMS - Release Stock on Hold Notice
,Export from WMS - Adjustment Notification 
,Export from WMS - Daily Stock Balance 
,Import to WMS - Product Master 
,Import to WMS - Customer Master
,Import to WMS - Consignee Master
,Other? Please Specify 
,Do Systems Reside side by side ? Yes/No
,How willyou manage Type of interface required - File transfer or Database Level
,"How willyou manageWhere relevant - File types to be used - .CSV, XML, EDIFACT, Other"
,"How willyou manageFile transfer Method - FTP, AS2, EDI etc."
,Will Principal Systems Ltd Standard File Formats be used by the client?
,"If, No, are sample Files available?"
*%$break&%*,
section 9,Invoicing 
*%$introduction$%*,
,Will you be using In-DEX to create Invoices
,How often are invoices created?
,Invoicing 
,Will In-DEX be used for Invoicing 
,Will In-DEX be used Storage Charges
,Will In-DEX be used Handling Charges
,Will In-DEX be used VAS - Value added services - On the Gun?
,"Will In-DEX be used Billing Period - Daily, Weekly, Fortnightly, Monthly"
*%$break&%*,
section 10,Purchasing Process Overview
*%$introduction$%*,
,What are the key reasons for investigating a WMS at this time?
,When do you require the new WMS to be live?
,"Is there any specific reason for this date (e.g. Regulatory, New Business, Seasonality)?"
,By what date is a decision likely to be made? 
,How would you describe your level of influence on the decision of which WMS system would be chosen?
,Who are the other Key decision makers?
,Who holds Budgetary control for a WMS purchase?
,Is there a Budget authorised for this expenditure?
,With whom does final decision making authority rest with?
,What systems have you see to date?
,"Will you be reviewing other WMS systems, and is so what are they?"
,Where did you hear about Principal Systems/In-DEX WMS
,Have you spoken with or visited any site using In-DEX WMS?
*%$break&%*,
section 11,Software Requirements Overview
*%$introduction$%*,
,Is In-DEX Standard Version applicable? 
,Is In-DEX Enterprise Version applicable?
,Is In-DEX Standard Version - 3PL - applicable? 
,Is In-DEX Enterprise Version -3PL - applicable?
,How many Concurrent Desktop Users are likely to be required?
,How many Concurrent Radio Frequency Users are likely to be required?
,How many Concurrent Voice are likely to be required?
,How Many Site Licences are required
,Is Progress OpenEdge Work Group Licences applicable?
,Is Progress Open Edge Enterprise Licence Applicable?
,Are Progress Open Edge Fathom Replication Licences Required?
,Is Open Edge Management Required 
,How many copies of Georgia Telnet Licences are required (40 pack)?
,Is Cleo Lexicom AS2 required Licence?
,Is In-DEX Integration Module Required?
,Is Index Radio Frequency Module Required?
,Is In-DEX Voice Engine Required?
,Is the In-DEX Auto Report Scheduler Required
,Is In-DEX EDM Electronic Document Management Module Required?
,Is a Digital Capture Electronic Sign on Pad Required 
